Date,DateTime,Open,High,Low,Close,Volume,Date
2023-03-27,2023-03-27 13:00:00,0.61,0.6193,0.61,0.6101,277.92,2023-03-27
2023-03-27,2023-03-27 13:30:00,0.6182,0.6299,0.6111,0.6177,548.9,2023-03-27
2023-03-27,2023-03-27 14:00:00,0.618,0.63,0.618,0.6299,623.09,2023-03-27
2023-03-27,2023-03-27 14:30:00,0.6241,0.6297,0.615,0.6238,185.43,2023-03-27
2023-03-28,2023-03-28 08:30:00,0.64,0.64,0.6159,0.63,699.39,2023-03-28
2023-03-28,2023-03-28 09:00:00,0.6259,0.635,0.621,0.6215,746.8,2023-03-28
2023-03-28,2023-03-28 09:30:00,0.635,0.635,0.62,0.6201,561.86,2023-03-28
2023-03-28,2023-03-28 10:00:00,0.63,0.6346,0.62,0.6206,439.45,2023-03-28
2023-03-28,2023-03-28 10:30:00,0.6207,0.6299,0.62,0.6299,376.99,2023-03-28
2023-03-28,2023-03-28 11:00:00,0.6288,0.6418,0.6206,0.635,1836.94,2023-03-28
2023-03-28,2023-03-28 11:30:00,0.6342,0.64,0.63,0.6349,978.38,2023-03-28
2023-03-28,2023-03-28 12:00:00,0.635,0.635,0.6206,0.6231,862.49,2023-03-28
2023-03-28,2023-03-28 12:30:00,0.6232,0.63,0.62,0.62,934.27,2023-03-28
2023-03-28,2023-03-28 13:00:00,0.62,0.63,0.62,0.625,543.56,2023-03-28
2023-03-28,2023-03-28 13:30:00,0.625,0.63,0.6199,0.63,641.5,2023-03-28
2023-03-28,2023-03-28 14:00:00,0.6299,0.63,0.62,0.6287,213.55,2023-03-28
2023-03-28,2023-03-28 14:30:00,0.6299,0.63,0.62,0.6211,430.43,2023-03-28
2023-03-29,2023-03-29 08:30:00,0.6319,0.6377,0.618,0.622,1134.89,2023-03-29
2023-03-29,2023-03-29 09:00:00,0.6275,0.6275,0.618,0.62,731.96,2023-03-29
2023-03-29,2023-03-29 09:30:00,0.6247,0.63,0.6202,0.6245,296.4,2023-03-29
2023-03-29,2023-03-29 10:00:00,0.6249,0.63,0.621,0.6299,223.39,2023-03-29
2023-03-29,2023-03-29 10:30:00,0.6255,0.64,0.621,0.6399,465.48,2023-03-29
2023-03-29,2023-03-29 11:00:00,0.64,0.64,0.627,0.6301,727.64,2023-03-29
2023-03-29,2023-03-29 11:30:00,0.6351,0.64,0.626,0.6348,420.53,2023-03-29
2023-03-29,2023-03-29 12:00:00,0.6339,0.648,0.6301,0.647,1433.9,2023-03-29
2023-03-29,2023-03-29 12:30:00,0.6351,0.648,0.63,0.64,733.28,2023-03-29
2023-03-29,2023-03-29 13:00:00,0.6449,0.6449,0.6309,0.638,117.99,2023-03-29
2023-03-29,2023-03-29 13:30:00,0.6399,0.64,0.632,0.637,191.38,2023-03-29
2023-03-29,2023-03-29 14:00:00,0.6369,0.64,0.6319,0.64,350.9,2023-03-29
2023-03-29,2023-03-29 14:30:00,0.64,0.6561,0.6313,0.6375,1258.3,2023-03-29
2023-03-30,2023-03-30 08:30:00,0.6699,0.6699,0.642,0.6499,748.79,2023-03-30
2023-03-30,2023-03-30 09:00:00,0.6499,0.6599,0.6402,0.6549,494.75,2023-03-30
2023-03-30,2023-03-30 09:30:00,0.6542,0.6542,0.63,0.63,625.34,2023-03-30
2023-03-30,2023-03-30 10:00:00,0.63,0.64,0.62,0.625,700.06,2023-03-30
